"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in pounds), for "" facilities in All Industries,"" for "" All chemicals, "" By State, ""U.S."", ""2022"
"Row #","State","Total On-site","Total Off-site","Total On- and "
"","","Disposal or","Disposal or","Off-site"
"","","Other Releases","Other Releases","Disposal or"
"","","","","Other Releases"
"1","Alabama","      68,413,650.6107433","      17,360,179.1975231","      85,773,829.8082663"
"2","Alaska","     776,355,659.5202019","         741,221.2109512","     777,096,880.7311531"
"3","Arizona","      61,313,957.6906274","       1,292,319.3551047","      62,606,277.0457321"
"4","Arkansas","      31,555,850.1704261","       3,684,769.5253138","      35,240,619.6957400"
"5","California","      31,196,123.8428792","      10,676,246.8834152","      41,872,370.7262944"
"6","Colorado","      17,176,078.0048010","       3,178,607.8810161","      20,354,685.8858171"
"7","Connecticut","         549,427.9781057","       1,028,928.6185675","       1,578,356.5966732"
"8","Delaware","       6,504,443.0491693","         238,042.0007000","       6,742,485.0498693"
"9","District Of Columbia","          13,568.4213050","             418.3838400","          13,986.8051450"
"10","Florida","      43,131,926.2387471","       4,547,191.6144779","      47,679,117.8532249"
"11","Georgia","      41,213,126.6095658","       4,206,051.7167821","      45,419,178.3263480"
"12","Hawaii","       2,399,396.6894506","         181,311.1647796","       2,580,707.8542302"
"13","Idaho","      41,461,334.2103817","       1,382,567.1951793","      42,843,901.4055610"
"14","Illinois","      38,837,954.6832869","      20,943,181.5906473","      59,781,136.2739342"
"15","Indiana","      69,884,227.2952102","      50,231,137.9908991","     120,115,365.2861093"
"16","Iowa","      26,805,382.5703268","       6,396,365.4762598","      33,201,748.0465866"
"17","Kansas","      20,477,397.3273956","       6,457,116.5670670","      26,934,513.8944626"
"18","Kentucky","      34,018,034.3950582","      22,776,611.3907673","      56,794,645.7858255"
"19","Louisiana","     120,114,346.7749353","      11,796,999.7891159","     131,911,346.5640512"
"20","Maine","       5,767,705.2592987","       1,537,848.2725411","       7,305,553.5318398"
"21","Maryland","       3,098,145.8720618","       2,527,404.4811920","       5,625,550.3532538"
"22","Massachusetts","         676,466.3339941","       3,087,317.3147540","       3,763,783.6487481"
"23","Michigan","      33,954,691.3869248","      19,426,130.9812515","      53,380,822.3681762"
"24","Minnesota","      17,163,573.9405419","       5,472,872.5106274","      22,636,446.4511693"
"25","Mississippi","      51,216,394.0499122","       4,462,274.9133645","      55,678,668.9632767"
"26","Missouri","      45,084,499.7863092","      14,104,608.6753061","      59,189,108.4616153"
"27","Montana","      51,882,479.3820942","         639,310.1567642","      52,521,789.5388584"
"28","Nebraska","      14,197,437.5698188","       2,738,670.9881082","      16,936,108.5579270"
"29","Nevada","     361,760,824.6117802","       6,546,592.0683677","     368,307,416.6801480"
"30","New Hampshire","         181,545.4559442","         219,226.8781421","         400,772.3340863"
"31","New Jersey","       5,675,777.9125465","       5,303,838.8443765","      10,979,616.7569229"
"32","New Mexico","      20,447,693.8874866","       1,139,848.4672824","      21,587,542.3547690"
"33","New York","      12,047,519.3649777","       3,904,018.9886428","      15,951,538.3536205"
"34","North Carolina","      33,704,730.9768875","      20,169,035.9737317","      53,873,766.9506192"
"35","North Dakota","      51,374,369.9907057","       5,525,001.8530730","      56,899,371.8437787"
"36","Ohio","      60,626,137.5123439","      27,738,234.2519565","      88,364,371.7643003"
"37","Oklahoma","      31,673,088.3279875","       3,212,582.2812908","      34,885,670.6092782"
"38","Oregon","      16,320,493.2718990","       3,448,439.4296855","      19,768,932.7015844"
"39","Pennsylvania","      32,939,603.8675794","      23,554,640.0229411","      56,494,243.8905205"
"40","Rhode Island","         200,194.7831545","         187,080.0498905","         387,274.8330450"
"41","South Carolina","      33,161,123.6238115","       7,035,621.7205910","      40,196,745.3444025"
"42","South Dakota","       8,363,792.5924985","         248,973.7140038","       8,612,766.3065023"
"43","Tennessee","      64,414,847.0122208","      10,176,755.1885329","      74,591,602.2007537"
"44","Texas","     214,753,067.0499204","      36,683,524.2712009","     251,436,591.3211213"
"45","Utah","     177,816,998.3110107","       4,080,001.8014477","     181,897,000.1124584"
"46","Vermont","         198,721.5509533","         186,705.6086200","         385,427.1595733"
"47","Virginia","      25,605,120.9888589","       4,582,315.1556516","      30,187,436.1445105"
"48","Washington","      10,244,259.0888593","       4,991,491.1957590","      15,235,750.2846183"
"49","West Virginia","      19,954,473.1929739","       2,156,521.6743554","      22,110,994.8673293"
"50","Wisconsin","      14,328,612.7045871","      11,120,202.6425326","      25,448,815.3471197"
"51","Wyoming","      16,600,068.1726322","       2,481,818.7015216","      19,081,886.8741538"
"52","American Samoa","          85,229.2500000","             188.8000000","          85,418.0500000"
"53","Guam","         341,396.9157687","                .0000000","         341,396.9157687"
"54","Northern Mariana Islands","           4,650.7416800",".","           4,650.7416800"
"55","Puerto Rico","       5,165,827.2367952","       1,268,381.9675670","       6,434,209.2043622"
"56","Virgin Islands","         101,892.5419590","              11.3580000","         101,903.8999590"
"Total of All States","   2,872,555,340.6013950","     407,076,758.7554800","   3,279,632,099.3568746"
"TRI On-site and Off-site Reported Disposed of or Otherwise Released (in grams), for "" facilities in All Industries,"" for "" Dioxin and Dioxin-like compounds, "" By State, ""U.S."", ""2022"
"Row #","State","Total On-site","Total Off-site","Total On- and "
"","","Disposal or","Disposal or","Off-site"
"","","Other Releases","Other Releases","Disposal or"
"","","","","Other Releases"
"1","Alabama","           6,221.7170361","              42.6979001","           6,264.4149362"
"2","Alaska","               2.3120000",".","               2.3120000"
"3","Arizona","              22.8408213","              58.3200000","              81.1608213"
"4","Arkansas","              49.2963492","               4.2070000","              53.5033492"
"5","California","              10.5545791","               9.9972289","              20.5518080"
"6","Colorado","              12.2897237","               7.6700000","              19.9597237"
"7","Delaware","                .4940000",".","                .4940000"
"8","Florida","              26.8397996","                .0106963","              26.8504959"
"9","Georgia","              48.6584687","                .3179806","              48.9764493"
"10","Hawaii","                .3887608","                .5349712","                .9237320"
"11","Idaho","             660.8073354",".","             660.8073354"
"12","Illinois","              11.4231790","              14.0086206","              25.4317996"
"13","Indiana","             104.7693801","             296.9450749","             401.7144550"
"14","Iowa","              23.2087620","              36.9510000","              60.1597620"
"15","Kansas","               5.5639700",".","               5.5639700"
"16","Kentucky","             476.3925590","          15,601.4043877","          16,077.7969467"
"17","Louisiana","             138.3484421","             665.7257925","             804.0742346"
"18","Maine","               4.7391150","               1.5791300","               6.3182450"
"19","Maryland","               1.8094500",".","               1.8094500"
"20","Michigan","             316.2212929","             185.9151850","             502.1364779"
"21","Minnesota","              23.0757037","              77.0597810","             100.1354847"
"22","Mississippi","             995.9011198","                .0567363","             995.9578561"
"23","Missouri","              35.0239957",".","              35.0239957"
"24","Montana","              45.4471683",".","              45.4471683"
"25","Nebraska","               5.5554470",".","               5.5554470"
"26","Nevada","               2.8743964","               1.4933000","               4.3676964"
"27","New Hampshire","                .2168800",".","                .2168800"
"28","New Jersey","               1.1359000","              24.6233000","              25.7592000"
"29","New Mexico","               2.8284000",".","               2.8284000"
"30","New York","              20.5945149","               2.4807380","              23.0752529"
"31","North Carolina","              89.5414748","                .3212000","              89.8626748"
"32","North Dakota","              16.8609049","                .1000000","              16.9609049"
"33","Ohio","           4,200.3663269","              36.4756700","           4,236.8419969"
"34","Oklahoma","              13.9363946","              43.2300000","              57.1663946"
"35","Oregon","               4.7203499","               3.8864632","               8.6068131"
"36","Pennsylvania","              15.2238188","                .5242000","              15.7480188"
"37","South Carolina","              17.1586407","                .2330940","              17.3917347"
"38","South Dakota","              10.2341878",".","              10.2341878"
